"Time Interval","Reserve Type","Type of Product","Source","Up price","Down Price","Currency","Price type"
"01.01.2023 01:00 - 01.01.2023 02:00 (CET/CEST)",mFRR,Not Specified,Not specified,"108.83","40","EUR","MARGINAL"
"01.01.2023 02:00 - 01.01.2023 03:00 (CET/CEST)",mFRR,Not Specified,Not specified,"102.39","30","EUR","MARGINAL"
"01.01.2023 03:00 - 01.01.2023 04:00 (CET/CEST)",mFRR,Not Specified,Not specified,"92.36","-2","EUR","MARGINAL"
"01.01.2023 04:00 - 01.01.2023 05:00 (CET/CEST)",mFRR,Not Specified,Not specified,"82.66","-2","EUR","MARGINAL"
"01.01.2023 05:00 - 01.01.2023 06:00 (CET/CEST)",mFRR,Not Specified,Not specified,"79.58","4.5","EUR","MARGINAL"
"01.01.2023 06:00 - 01.01.2023 07:00 (CET/CEST)",mFRR,Not Specified,Not specified,"77.65","-2.5","EUR","MARGINAL"
"01.01.2023 07:00 - 01.01.2023 08:00 (CET/CEST)",mFRR,Not Specified,Not specified,"66.27","-5","EUR","MARGINAL"
"01.01.2023 08:00 - 01.01.2023 09:00 (CET/CEST)",mFRR,Not Specified,Not specified,"80.89","-5","EUR","MARGINAL"
"01.01.2023 09:00 - 01.01.2023 10:00 (CET/CEST)",mFRR,Not Specified,Not specified,"93.73","-7","EUR","MARGINAL"
"01.01.2023 10:00 - 01.01.2023 11:00 (CET/CEST)",mFRR,Not Specified,Not specified,"106.05","-7","EUR","MARGINAL"
"01.01.2023 11:00 - 01.01.2023 12:00 (CET/CEST)",mFRR,Not Specified,Not specified,"116.28","25","EUR","MARGINAL"
"01.01.2023 12:00 - 01.01.2023 13:00 (CET/CEST)",mFRR,Not Specified,Not specified,"120.02","42","EUR","MARGINAL"
"01.01.2023 13:00 - 01.01.2023 14:00 (CET/CEST)",mFRR,Not Specified,Not specified,"122.17","42","EUR","MARGINAL"
"01.01.2023 14:00 - 01.01.2023 15:00 (CET/CEST)",mFRR,Not Specified,Not specified,"120.11","42","EUR","MARGINAL"
"01.01.2023 15:00 - 01.01.2023 16:00 (CET/CEST)",mFRR,Not Specified,Not specified,"120.71","42","EUR","MARGINAL"
"01.01.2023 16:00 - 01.01.2023 17:00 (CET/CEST)",mFRR,Not Specified,Not specified,"132.2","121.98","EUR","MARGINAL"
"01.01.2023 17:00 - 01.01.2023 18:00 (CET/CEST)",mFRR,Not Specified,Not specified,"150","122.16","EUR","MARGINAL"
"01.01.2023 18:00 - 01.01.2023 19:00 (CET/CEST)",mFRR,Not Specified,Not specified,"150","121.77","EUR","MARGINAL"
"01.01.2023 19:00 - 01.01.2023 20:00 (CET/CEST)",mFRR,Not Specified,Not specified,"121.01","121.01","EUR","MARGINAL"
"01.01.2023 20:00 - 01.01.2023 21:00 (CET/CEST)",mFRR,Not Specified,Not specified,"120.4","120.4","EUR","MARGINAL"
"01.01.2023 21:00 - 01.01.2023 22:00 (CET/CEST)",mFRR,Not Specified,Not specified,"140","119.6","EUR","MARGINAL"
"01.01.2023 22:00 - 01.01.2023 23:00 (CET/CEST)",mFRR,Not Specified,Not specified,"142.5","116.24","EUR","MARGINAL"
"01.01.2023 23:00 - 02.01.2023 00:00 (CET/CEST)",mFRR,Not Specified,Not specified,"142.5","115.45","EUR","MARGINAL"
"02.01.2023 00:00 - 02.01.2023 01:00 (CET/CEST)",mFRR,Not Specified,Not specified,"150","119.96","EUR","MARGINAL"
"02.01.2023 01:00 - 02.01.2023 02:00 (CET/CEST)",mFRR,Not Specified,Not specified,"145","119.19","EUR","MARGINAL"
"02.01.2023 02:00 - 02.01.2023 03:00 (CET/CEST)",mFRR,Not Specified,Not specified,"130","118.18","EUR","MARGINAL"
"02.01.2023 03:00 - 02.01.2023 04:00 (CET/CEST)",mFRR,Not Specified,Not specified,"118.11","118.11","EUR","MARGINAL"
"02.01.2023 04:00 - 02.01.2023 05:00 (CET/CEST)",mFRR,Not Specified,Not specified,"119.99","119.99","EUR","MARGINAL"
"02.01.2023 05:00 - 02.01.2023 06:00 (CET/CEST)",mFRR,Not Specified,Not specified,"117.74","117.74","EUR","MARGINAL"
"02.01.2023 06:00 - 02.01.2023 07:00 (CET/CEST)",mFRR,Not Specified,Not specified,"121.73","121.73","EUR","MARGINAL"
"02.01.2023 07:00 - 02.01.2023 08:00 (CET/CEST)",mFRR,Not Specified,Not specified,"138.19","101.52","EUR","MARGINAL"
"02.01.2023 08:00 - 02.01.2023 09:00 (CET/CEST)",mFRR,Not Specified,Not specified,"145.98","145.98","EUR","MARGINAL"
"02.01.2023 09:00 - 02.01.2023 10:00 (CET/CEST)",mFRR,Not Specified,Not specified,"148.95","125","EUR","MARGINAL"
"02.01.2023 10:00 - 02.01.2023 11:00 (CET/CEST)",mFRR,Not Specified,Not specified,"149.96","115.09","EUR","MARGINAL"
"02.01.2023 11:00 - 02.01.2023 12:00 (CET/CEST)",mFRR,Not Specified,Not specified,"153.5","120","EUR","MARGINAL"
"02.01.2023 12:00 - 02.01.2023 13:00 (CET/CEST)",mFRR,Not Specified,Not specified,"175","148.69","EUR","MARGINAL"
"02.01.2023 13:00 - 02.01.2023 14:00 (CET/CEST)",mFRR,Not Specified,Not specified,"160","148.06","EUR","MARGINAL"
"02.01.2023 14:00 - 02.01.2023 15:00 (CET/CEST)",mFRR,Not Specified,Not specified,"152.44","122","EUR","MARGINAL"
"02.01.2023 15:00 - 02.01.2023 16:00 (CET/CEST)",mFRR,Not Specified,Not specified,"155.34","128","EUR","MARGINAL"
"02.01.2023 16:00 - 02.01.2023 17:00 (CET/CEST)",mFRR,Not Specified,Not specified,"162.89","162.89","EUR","MARGINAL"
"02.01.2023 17:00 - 02.01.2023 18:00 (CET/CEST)",mFRR,Not Specified,Not specified,"175.01","170","EUR","MARGINAL"
"02.01.2023 18:00 - 02.01.2023 19:00 (CET/CEST)",mFRR,Not Specified,Not specified,"189","174.74","EUR","MARGINAL"
"02.01.2023 19:00 - 02.01.2023 20:00 (CET/CEST)",mFRR,Not Specified,Not specified,"164.46","164.46","EUR","MARGINAL"
"02.01.2023 20:00 - 02.01.2023 21:00 (CET/CEST)",mFRR,Not Specified,Not specified,"153","153","EUR","MARGINAL"
"02.01.2023 21:00 - 02.01.2023 22:00 (CET/CEST)",mFRR,Not Specified,Not specified,"141.94","119","EUR","MARGINAL"
"02.01.2023 22:00 - 02.01.2023 23:00 (CET/CEST)",mFRR,Not Specified,Not specified,"137.72","118","EUR","MARGINAL"
"02.01.2023 23:00 - 03.01.2023 00:00 (CET/CEST)",mFRR,Not Specified,Not specified,"129.7","118","EUR","MARGINAL"
"03.01.2023 00:00 - 03.01.2023 01:00 (CET/CEST)",mFRR,Not Specified,Not specified,"134.04","134.04","EUR","MARGINAL"
"03.01.2023 01:00 - 03.01.2023 02:00 (CET/CEST)",mFRR,Not Specified,Not specified,"123.97","123.97","EUR","MARGINAL"
"03.01.2023 02:00 - 03.01.2023 03:00 (CET/CEST)",mFRR,Not Specified,Not specified,"122.56","122.56","EUR","MARGINAL"
"03.01.2023 03:00 - 03.01.2023 04:00 (CET/CEST)",mFRR,Not Specified,Not specified,"118.8","118.8","EUR","MARGINAL"
"03.01.2023 04:00 - 03.01.2023 05:00 (CET/CEST)",mFRR,Not Specified,Not specified,"117.39","117.39","EUR","MARGINAL"
